"","5001","","Code-Name Downfall: The Secret Plan to Invade Japan and Why Truman Dropped the Bomb","Thomas B. Allen","1995","History","War","World War II","3.5","48","2022/03/24"
"","5035","","Come Home to the Heart of God: Building Life on the 7 Pillars of God's Kingdom Family","Thomas D. Elliff","","","","","0.0","0","2022/03/24"
"","5036","Sword of Truth","The Sword of Truth, Boxed Set III: The Pillars of Creation, Naked Empire, Chainfire","Terry Goodkind","","Fantasy","Fiction","Fantasy","4.25","3235","2022/03/24"
"","5037","","5 Pillars, 7 Sins","Paul McDonnold","2002","","","","2.0","1","2022/03/24"
"","5038","Sword of Truth","The Pillars of Creation","Terry Goodkind","","Fantasy","Fiction","Fantasy","3.69","57196","2022/03/24"
"","5039","","Friendship and Moral Education: Twin Pillars of Philosophy for Children","Ronald F. Reed","","","","","0.0","0","2022/03/24"
"","5040","","Bee Season","Myla Goldberg","2000","Fiction","Literature","Jewish","3.57","24712","2022/03/24"
"","5041","","Bee Seasons","George     Johnston","1999","","","","2.0","1","2022/03/24"
"","5042","","Bee Season Reading Group Guide","Myla Goldberg","","","","","3.36","56","2022/03/24"
"","5043","Kingsbridge","The Pillars of the Earth","Ken Follett","1989","Historical","Historical Fiction","Fiction","4.33","700086","2022/03/24"
"","5044","Kingsbridge","The Pillars of the Earth","Ken Follett","","Historical","Historical Fiction","Fiction","4.33","700086","2022/03/24"
"","5045","","The Pillars of the Earth Part 1 of 3","Ken Follett","","Historical","Historical Fiction","Fiction","4.42","5617","2022/03/24"
"","5046","Kingsbridge","World Without End","Ken Follett","","Historical","Historical Fiction","Fiction","4.28","223757","2022/03/24"
"","5047","Kingsbridge","The Pillars of the Earth","Ken Follett","1989","Historical","Historical Fiction","Fiction","4.33","700086","2022/03/24"
"","5048","The Century Trilogy","Edge of Eternity","Ken Follett","","Historical","Historical Fiction","Fiction","4.15","92264","2022/03/24"
"","5049","","","","","","","","","","2022/03/24"
"","5050","Kingsbridge","Los pilares de la tierra","Ken Follett","1989","Historical","Historical Fiction","Fiction","4.33","700086","2022/03/24"
"","5051","","A Dangerous Fortune","Ken Follett","1993","Historical","Historical Fiction","Fiction","4.1","41237","2022/03/24"
"","5052","","Code to Zero","Ken Follett","2000","Fiction","Thriller","Historical","3.79","20133","2022/03/24"
"","5053","","The Man from St. Petersburg","Ken Follett","1982","Fiction","Historical","Historical Fiction","3.91","26977","2022/03/24"
"","5054","","The Key to Rebecca","Ken Follett","1980","Fiction","Historical","Historical Fiction","3.93","32425","2022/03/24"
"","5055","","Night Over Water","Ken Follett","1991","Fiction","Historical","Historical Fiction","3.85","22494","2022/03/24"
"","5056","","The Hammer of Eden","Ken Follett","1993","Fiction","Thriller","Mystery","3.51","12693","2022/03/24"
"","5057","","The Truth about the Drug Companies: How They Deceive Us and What to Do about It","Marcia Angell","2004","Nonfiction","Health","Science","3.96","862","2022/03/24"
"","5058","","On Wings of Eagles","Ken Follett","1984","Nonfiction","History","Thriller","3.96","12634","2022/03/24"
"","5059","","The Truth about the Drug Companies: How They Deceive Us and What to Do about It","Marcia Angell","2004","Nonfiction","Health","Science","3.96","862","2022/03/24"
"","5060","","The Truth about the Drug Companies: How They Deceive Us and What to Do about It","Marcia Angell","2004","Nonfiction","Health","Science","3.96","862","2022/03/24"
"","5061","","La verdad acerca de las Industrias Farmacéuticas: cómo nos engaña y qué hacer al respecto","Marcia Angell","2004","Nonfiction","Health","Science","3.96","862","2022/03/24"
"","5062","","Jackdaws","Ken Follett","2001","Historical","Historical Fiction","Fiction","4.01","32410","2022/03/24"
"","5063","","A Place Called Freedom","Ken Follett","1995","Historical","Historical Fiction","Fiction","3.99","29500","2022/03/24"
"","5064","Kingsbridge","World Without End","Ken Follett","","Historical","Historical Fiction","Fiction","4.28","223757","2022/03/24"
"","5065","","Whiteout","Ken Follett","2004","Thriller","Mystery","Suspense","3.63","34765","2022/03/24"
"","5066","","Jackdaws","Ken Follett","2001","Historical","Historical Fiction","Fiction","4.01","32410","2022/03/24"
"","5067","","Triple","Ken Follett","1979","Fiction","Thriller","Historical","3.89","15181","2022/03/24"
"","5068","","Last Orders","Graham Swift","1996","Fiction","Literary Fiction","Literature","3.67","13190","2022/03/24"
"","5069","Battle Angel Alita: Last Order","Battle Angel Alita - Last Order, Vol. 8: Angel's Vision","Yukito Kishiro","2006","Sequential Art","Manga","Sequential Art","4.12","379","2022/03/24"
"","5070","Kuwisha Trilogy","Last Orders at Harrods: An African Tale","Michael Holman","","Cultural","Africa","Fiction","3.3","159","2022/03/24"
"","5071","Battle Angel Alita: Last Order","Battle Angel Alita - Last Order, Vol. 7: Guilty Angel","Yukito Kishiro","2005","Sequential Art","Manga","Science Fiction","4.14","388","2022/03/24"
"","5072","","Last Order of the Lost Cause: The True Story of a Jewish Family in the 'old South': Raphael Jacob Moses, Major C.S.A., 1812-1893","Mel Young","1995","","","","0.0","0","2022/03/24"
"","5073","Battle Angel Alita: Last Order","Gunnm Last Order, Tome 01","Yukito Kishiro","","Sequential Art","Manga","Sequential Art","4.07","873","2022/03/24"
"","5074","","Last Orders","Brian W. Aldiss","1977","Science Fiction","Fiction","Short Stories","3.65","65","2022/03/24"
"","5075","","Last Orders, Please!: [Being a True and Faithful Account of the Life and Times of Ulster's Modern Cúchulainn, B.A. Grimshaw, and his Heroic Part in Ireland's Fight for Freedom]","John McGuffin","2000","","","","5.0","1","2022/03/24"
"","5076","","The Successful Physician: A Productivity Handbook for Practitioners","Marshall O. Zaslove","1998","","","","3.75","12","2022/03/24"
"","5077","","Your Inner Physician and You: CranioSacral Therapy and SomatoEmotional Release","John E. Upledger","1997","Health","Nonfiction","Science","4.11","286","2022/03/24"
"","5078","","Physician Assistant Exam Review: Pearls of Wisdom, Third Edition: Pearls of Wisdom","Gillian Lewke Emblad","","","","","4.5","2","2022/03/24"
"","5079","","Europe's Physician: The Various Life of Theodore de Mayerne","Hugh R. Trevor-Roper","","History","Biography","","3.67","15","2022/03/24"
"","5080","","Opportunities in Physician Assistant Careers","Terence J. Sacks","2002","","","","1.5","2","2022/03/24"
"","5081","","Physician Assistants In American Medicine","Roderick S. Hooker","1997","","","","4.0","1","2022/03/24"
"","5082","","Physician Assistant Board Review: Certification and Recertification with Online Exam Simulation. Expert Consult - Online and Print","James Van Rhee","","","","","4.3","10","2022/03/24"
"","5083","","Natural Physician's Healing Therapies","Mark Stengler","1997","Health","","","4.23","57","2022/03/24"
"","5084","","My Life in France","Julia Child","2006","Nonfiction","Autobiography","Memoir","4.13","86068","2022/03/24"
"","5085","","The fabric of my life: Reflections of Helen Frances Gregor","Helen Frances Gregor","","","","","0.0","0","2022/03/24"
"","5086","","Fun, Cheap, & Easy: My Life in Ohio Politics, 1949-1964","Frances McGovern","2001","","","","3.0","1","2022/03/24"
"","5087","","Recalling My Life And Times","Frances Hundley Frost","","","","","0.0","0","2022/03/24"
"","5088","","A Short History Of Nearly Everything","Bill Bryson","","Nonfiction","Science","History","4.2","343332","2022/03/24"
"","5089","","A Short History of Nearly Everything (Illustrated Edition)","Bill Bryson","2003","Nonfiction","Science","History","4.2","343332","2022/03/24"
"","5090","","A Short History Of Nearly Everything","Bill Bryson","","Nonfiction","Science","History","4.2","343332","2022/03/24"
"","5091","The Dark Tower","The Dark Tower","Stephen King","2004","Fantasy","Fiction","Horror","4.26","158427","2022/03/24"
"","5092","The Dark Tower","Dark Tower Boxed Set","Stephen King","2002","Fantasy","Fiction","Horror","4.51","5207","2022/03/24"
"","5093","The Dark Tower","Song of Susannah","Stephen King","2004","Fantasy","Fiction","Horror","3.98","143924","2022/03/24"
"","5094","The Dark Tower","The Drawing of the Three","Stephen King","1987","Fantasy","Fiction","Horror","4.22","234467","2022/03/24"
"","5095","The Dark Tower","The Waste Lands","Stephen King","1991","Fantasy","Fiction","Horror","4.24","200298","2022/03/24"
"","5096","The Dark Tower","Wizard and Glass","Stephen King","1997","Fantasy","Fiction","Horror","4.24","179188","2022/03/24"
"","5097","","The Road to the Dark Tower: Exploring Stephen King's Magnum Opus","Bev Vincent","2004","Fantasy","Horror","Reference","4.32","39181","2022/03/24"
"","5098","The Dark Tower","The Gunslinger","Stephen King","1982","Fantasy","Fiction","Horror","3.94","553346","2022/03/24"
"","5099","Stephen King's The Dark Tower: A Concordance","Stephen King's The Dark Tower: A Concordance, #2","Robin Furth","2003","Reference","Fantasy","Fiction","4.24","829","2022/03/24"
"","5100","","Here All Dwell Free: Stories to Heal the Wounded Feminine","Gertrud Mueller Nelson","1991","Spirituality","Psychology","Nonfiction","4.11","47","2022/03/24"
"","5101","","The Handmaid's Tale (SparkNotes Literature Guides)","SparkNotes","","","","","3.79","39","2022/03/24"
"","5102","The Handmaid's Tale","The Handmaid's Tale","Margaret Atwood","1985","Fiction","Classics","Science Fiction","4.12","1715514","2022/03/24"
"","5103","","Cliffs Notes on Atwood's The Handmaid's Tale","Mary Ellen Snodgrass","","","","","3.72","36","2022/03/24"
"","5104","The Handmaid's Tale","The Handmaid's Tale","Margaret Atwood","1985","Fiction","Classics","Science Fiction","4.12","1715514","2022/03/24"
"","5105","","","","","","","","","","2022/03/24"
"","5106","","The Handmaid's Tale, Margaret Atwood: Notes","Ann Coral Howell","","","","","3.0","6","2022/03/24"
"","5107","","The Catcher in the Rye","J.D. Salinger","1951","Classics","Fiction","Young Adult","3.81","3079107","2022/03/24"
"","5108","","Cliffs Notes on Salinger's The Catcher in the Rye","Stanley P. Baldwin","","Nonfiction","Classics","","3.66","135","2022/03/24"
"","5109","","The Catcher in the Rye : A Unit Plan (Litplans on CD)","Mary B. Collins","","","","","5.0","3","2022/03/24"
"","5110","","The Catcher In The Rye","J.D. Salinger","1951","Classics","Fiction","Young Adult","3.81","3079107","2022/03/24"
"","5111","","The Catcher in the Rye - Barron's Book Notes","Barron's","","Classics","Fiction","Writing","3.72","765","2022/03/24"
"","5112","","","","","","","","","","2022/03/24"
"","5113","","Franny and Zooey","J.D. Salinger","1957","Fiction","Classics","Short Stories","3.97","200113","2022/03/24"
"","5114","","Raise High the Roof Beam, Carpenters & Seymour: An Introduction","J.D. Salinger","1955","Fiction","Classics","Short Stories","4.11","48169","2022/03/24"
"","5115","","Salinger: A Biography","Paul Alexander","1999","Biography","Nonfiction","Biography Memoir","3.26","325","2022/03/24"
"","5116","","For Esme—With Love and Squalor, and Other Stories","J.D. Salinger","1953","Short Stories","Fiction","Classics","4.18","140026","2022/03/24"
"","5117","Salinger Sisters","Love on the Run","Shari MacDonald","","Christian Fiction","Fiction","Romance","3.48","113","2022/03/24"
"","5118","","In Search of J.D. Salinger","Ian     Hamilton","1988","Biography","Nonfiction","Literature","3.42","477","2022/03/24"
"","5119","","Living Solo","Adrienne Salinger","1998","","","","3.61","18","2022/03/24"
"","5120","","Dream Catcher: A Memoir","Margaret A. Salinger","2000","Autobiography","Memoir","Nonfiction","3.39","845","2022/03/24"
"","5121","","With Love and Squalor: 13 Writers Respond to the Work of J.D. Salinger","Kip Kotzen","","Nonfiction","Criticism","Literary Criticism","3.38","103","2022/03/24"
"","5122","","The Catcher in the Rye","J.D. Salinger","1951","Classics","Fiction","Young Adult","3.81","3079107","2022/03/24"
"","5123","","The Fiction of J.D. Salinger","Joseph Blotner","1958","","","","3.4","5","2022/03/24"
"","5124","","Studies in Short Fiction Series: J. D. Salinger (Twayne's Studies in Short Fiction) (No. 25)","John Paul Wenke","","","","","4.0","10","2022/03/24"
"","5125","","Luv Ya Like A Sister: A Story Of Friendship","Katie Ouriou","1999","","","","3.0","1","2022/03/24"
"","5126","","Women Who Love Books Too Much: Bibliophiles, Bluestockings & Prolific Pens from the Algonquin Hotel to the Ya-YA Sisterhood","Brenda Knight","","Nonfiction","Writing","Books About Books","3.57","228","2022/03/24"
"","5127","","Wild Women and Books: Bibliophiles, Bluestockings, and Prolific Pens","Brenda Knight","2000","Nonfiction","Writing","Books About Books","3.57","228","2022/03/24"
"","5128","","The Doors of Perception & Heaven and Hell","Aldous Huxley","1956","Philosophy","Nonfiction","Psychology","3.93","41833","2022/03/24"
"","5129","","Brave New World","Aldous Huxley","1932","Classics","Fiction","Science Fiction","3.99","1622356","2022/03/24"
"","5130","","Island","Aldous Huxley","1962","Fiction","Classics","Science Fiction","3.86","27611","2022/03/24"
"","5131","","The Perennial Philosophy","Aldous Huxley","1944","Philosophy","Nonfiction","Religion","4.07","5615","2022/03/24"
"","5132","","Huxley and God: Essays on Religious Experience","Aldous Huxley","1992","Spirituality","Religion","Writing","4.32","116","2022/03/24"
"","5133","","The Art of Seeing","Aldous Huxley","1942","Nonfiction","Science","Health","3.66","498","2022/03/24"
"","5134","","Moksha: Writings on Psychedelics & the Visionary Experience","Aldous Huxley","1977","Psychology","Nonfiction","Philosophy","4.19","521","2022/03/24"
"","5135","","Point Counter Point","Aldous Huxley","1928","Fiction","Classics","Literature","3.87","11135","2022/03/24"
"","5136","","After Many a Summer Dies the Swan","Aldous Huxley","1939","Fiction","Classics","Philosophy","3.73","2721","2022/03/24"
"","5137","Elspeth Huxley's Childhood Memoirs","The Flame Trees of Thika: Memories of an African Childhood","Elspeth Huxley","1959","Cultural","Africa","Autobiography","4.12","5396","2022/03/24"
"","5138","","","","","","","","","","2022/03/24"
"","5139","The Devil Wears Prada","The Devil Wears Prada","Lauren Weisberger","2003","Womens Fiction","Chick Lit","Fiction","3.77","831150","2022/03/24"
"","5140","The Devil Wears Prada","The Devil Wears Prada","Lauren Weisberger","2003","Womens Fiction","Chick Lit","Fiction","3.77","831150","2022/03/24"
"","5141","The Devil Wears Prada","El diablo viste de Prada","Lauren Weisberger","2003","Womens Fiction","Chick Lit","Fiction","3.77","831150","2022/03/24"
"","5142","The Devil Wears Prada","The Devil Wears Prada","Lauren Weisberger","2003","Womens Fiction","Chick Lit","Fiction","3.77","831150","2022/03/24"
"","5143","","Manhattan on the Rocks","Janice Harayda","","Womens Fiction","Chick Lit","Fiction","2.69","52","2022/03/24"
"","5144","Continuum Contemporaries","Arundhati Roy's The God of Small Things: A Reader's Guide","Julie Mullaney","","Fiction","Criticism","Literary Criticism","4.05","344","2022/03/24"
"","5145","","Arundhati Roy's The God of Small Things: A Critical Appraisal","Amar Nath Prasad","2005","Fiction","","","3.91","46","2022/03/24"
"","5146","","Arundhati Roy's The God Of Small Things: Critique And Commentary","R.S. Sharma","1998","","","","4.5","10","2022/03/24"
"","5147","","Arundhati Roy's the God of Small Things: A Routledge Guide","Alex Tickell","2006","","","","4.16","38","2022/03/24"
"","5148","","A Separate Peace","John Knowles","1959","Classics","Fiction","Young Adult","3.59","202724","2022/03/24"
"","5149","","A Separate Peace","John Knowles","1959","Classics","Fiction","Young Adult","3.59","202724","2022/03/24"
"","5150","","A Separate Peace with Connections (HRW Library)","John Knowles","1959","Classics","Fiction","Young Adult","3.59","202724","2022/03/24"
"","5151","","A Study Guide to A Separate Peace","Donna Reardon","1989","","","","4.5","2","2022/03/24"
"","5152","","A Separate Peace","John Knowles","1959","Classics","Fiction","Young Adult","3.59","202724","2022/03/24"
"","5153","","The Corrections","Jonathan Franzen","","Fiction","Contemporary","Novels","3.81","168862","2022/03/24"
"","5154","","Withhold Not Correction","Bruce Ray","1978","Parenting","Family","Psychology","3.72","85","2022/03/24"
"","5155","","Live Your Best Life: A Treasury of Wisdom, Wit, Advice, Interviews, and Inspiration from O, the Oprah Magazine","O, The Oprah Magazine","","Self Help","Nonfiction","Inspirational","3.84","248","2022/03/24"
"","5156","","Cane River","Lalita Tademy","2001","Historical","Historical Fiction","Fiction","4.07","47387","2022/03/24"
"","5157","","Black and Blue","Anna Quindlen","1998","Fiction","Contemporary","Adult Fiction","3.89","80727","2022/03/24"
"","5158","","A Virtuous Woman","Kaye Gibbons","1989","Fiction","Contemporary","Historical","3.69","24415","2022/03/24"
"","5159","","Here on Earth","Alice Hoffman","1997","Fiction","Romance","Magical Realism","3.69","46738","2022/03/24"
"","5160","Maya Angelou's Autobiography","The Heart of a Woman","Maya Angelou","1981","Nonfiction","Biography","Autobiography","4.22","21552","2022/03/24"
"","5161","Cappadora Family","The Deep End of the Ocean","Jacquelyn Mitchard","1996","Fiction","Mystery","Contemporary","3.87","118067","2022/03/24"
"","5162","","I Know This Much Is True","Wally Lamb","1998","Fiction","Contemporary","Novels","4.2","299639","2022/03/24"
"","5163","","The Heart Is a Lonely Hunter","Carson McCullers","1940","Fiction","Classics","Literature","3.99","99831","2022/03/24"
"","5164","","Oprah Winfrey: I Dont Believe in Failure (African-American Biographies (Enslow))","Robin Westen","","Biography","Nonfiction","Self Help","3.52","623","2022/03/24"
"","5165","","The World According to Oprah: An Unauthorized Portrait in Her Own Words","Ken Lawrence","","Biography","Nonfiction","Cultural","2.63","59","2022/03/24"
"","5166","","Midwives","Chris Bohjalian","1997","Fiction","Contemporary","Adult Fiction","3.99","154642","2022/03/24"
"","5167","","Cane River","Lalita Tademy","2001","Historical","Historical Fiction","Fiction","4.07","47387","2022/03/24"
"","5168","","Where the Heart Is","Billie Letts","1995","Fiction","Womens Fiction","Chick Lit","4.03","243219","2022/03/24"
"","5169","","Oprah Winfrey","Katherine E. Krohn","2001","","","","3.79","43","2022/03/24"
"","5170","","The Gospel According to Oprah","Marcia Z. Nelson","2005","","","","3.1","10","2022/03/24"
"","5171","","Drowning Ruth","Christina Schwarz","2000","Fiction","Mystery","Historical","3.75","81212","2022/03/24"
"","5172","","Back Roads","Tawni O'Dell","1999","Fiction","Contemporary","Young Adult","3.75","25598","2022/03/24"
"","5173","","Icy Sparks","Gwyn Hyman Rubio","1998","Fiction","Historical","Historical Fiction","3.7","40715","2022/03/24"
"","5174","","Fall on Your Knees","Ann-Marie MacDonald","1996","Fiction","Historical","Historical Fiction","3.96","63278","2022/03/24"
"","5175","Idlewild","What Looks Like Crazy on an Ordinary Day","Pearl Cleage","1997","Fiction","Cultural","African American","3.74","20749","2022/03/24"
"","5176","","While I Was Gone","Sue Miller","1999","Fiction","Womens Fiction","Chick Lit","3.69","58864","2022/03/24"
"","5177","Ellen Foster","Ellen Foster","Kaye Gibbons","1987","Fiction","American","Southern","3.78","29406","2022/03/24"
"","5178","","The Uncommon Wisdom of Oprah Winfrey: A Portrait in Her Own Words","Oprah Winfrey","1996","Nonfiction","Biography","","3.75","72","2022/03/24"
"","5179","","Mother of Pearl","Melinda Haynes","1999","Fiction","Historical","Historical Fiction","3.69","19913","2022/03/24"
"","5180","","The Rapture of Canaan","Sheri Reynolds","1995","Fiction","Religion","Adult Fiction","3.82","33930","2022/03/24"
"","5181","","Jewel","Bret Lott","1991","Fiction","Historical","Historical Fiction","3.68","37143","2022/03/24"
"","5182","","Songs in Ordinary Time","Mary McGarry Morris","1995","Fiction","Historical","Historical Fiction","3.71","31554","2022/03/24"
"","5183","","Reading Oprah: How Oprah's Book Club Changed the Way America Reads","Cecilia Konchar Farr","2004","Nonfiction","Writing","Books About Books","3.65","23","2022/03/24"
"","5184","","Gap Creek","Robert Morgan","1999","Fiction","Historical","Historical Fiction","3.74","51377","2022/03/24"
"","5185","","We Were the Mulvaneys","Joyce Carol Oates","","Fiction","Contemporary","Literary Fiction","3.74","97016","2022/03/24"
"","5186","","Breath, Eyes, Memory","Edwidge Danticat","1994","Fiction","Historical","Historical Fiction","3.89","28409","2022/03/24"
"","5187","","The Book of Ruth","Jane Hamilton","1988","Fiction","Historical","Historical Fiction","3.85","66349","2022/03/24"
"","5188","","Cry, The Beloved Country","Alan Paton","1948","Fiction","Classics","Cultural","3.9","70758","2022/03/24"
"","5189","","Reading with Oprah: The Book Club that Changed America","Kathleen Rooney","","Nonfiction","Writing","Books About Books","3.52","61","2022/03/24"
"","5190","","Open House","Elizabeth Berg","2000","Fiction","Womens Fiction","Chick Lit","3.7","57885","2022/03/24"
"","5191","Fortune's Rocks","The Pilot's Wife","Anita Shreve","1998","Fiction","Womens Fiction","Chick Lit","3.54","93790","2022/03/24"
"","5192","","Back Roads","Tawni O'Dell","1999","Fiction","Contemporary","Young Adult","3.75","25598","2022/03/24"
"","5193","","","","","","","","","","2022/03/24"
"","5194","","The Reader","Bernhard Schlink","1995","Fiction","Historical","Historical Fiction","3.77","187121","2022/03/24"
"","5195","","Cry, the Beloved Country","Alan Paton","1948","Fiction","Classics","Cultural","3.9","70758","2022/03/24"
"","5196","","Tara Road","Maeve Binchy","1998","Fiction","Womens Fiction","Chick Lit","3.92","75971","2022/03/24"
"","5197","","A Lesson Before Dying","Ernest J. Gaines","1993","Fiction","Historical","Historical Fiction","3.97","54639","2022/03/24"
"","5198","Beloved Trilogy","Paradise","Toni Morrison","1997","Fiction","Classics","Cultural","3.83","24728","2022/03/24"
"","5199","","One Hundred Years of Solitude","Gabriel García Márquez","1967","Fiction","Classics","Magical Realism","4.1","844357","2022/03/24"
"","5200","","A Summer of Faulkner: As I Lay Dying, The Sound and the Fury, Light in August","William Faulkner","","Classics","Fiction","Literature","4.06","703","2022/03/24"
"","5201","Burgdorf Cycle","Stones from the River","Ursula Hegi","1994","Fiction","Historical","Historical Fiction","4.09","93661","2022/03/24"
"","5202","Little Bill","The Treasure Hunt: A Little Bill Book","Bill Cosby","","Childrens","Fiction","Cultural","3.37","380","2022/03/24"
"","5203","","She's Come Undone","Wally Lamb","1992","Fiction","Contemporary","Womens Fiction","3.89","329613","2022/03/24"
"","5204","","We Were the Mulvaneys","Joyce Carol Oates","1996","Fiction","Contemporary","Literary Fiction","3.74","97016","2022/03/24"
"","5205","","A Map of the World","Jane Hamilton","1992","Fiction","Contemporary","Literary Fiction","3.81","72102","2022/03/24"
"","5206","","House of Sand and Fog","Andre Dubus III","1999","Fiction","Contemporary","Literary Fiction","3.85","129021","2022/03/24"
"","5207","Involuntary trilogy","Daughter of Fortune","Isabel Allende","1998","Historical","Historical Fiction","Fiction","3.92","122715","2022/03/24"
"","5208","","Cry, the Beloved Country","Alan Paton","1948","Fiction","Classics","Cultural","3.9","70758","2022/03/24"
"","5209","Little Bill","The Meanest Thing To Say","Bill Cosby","","Fiction","Childrens","Childrens","3.58","1011","2022/03/24"
"","5210","House of Earth","The Good Earth","Pearl S. Buck","1931","Classics","Fiction","Historical","3.99","235331","2022/03/24"
"","5211","","A Fine Balance","Rohinton Mistry","1995","Fiction","Cultural","India","4.36","138820","2022/03/24"
"","5212","Little Bill","The Best Way to Play: A Little Bill Book","Bill Cosby","1997","Childrens","Fiction","Childrens","3.51","433","2022/03/24"
"","5213","","White Oleander","Janet Fitch","1999","Fiction","Contemporary","Young Adult","3.98","336429","2022/03/24"
"","5214","","Cry, the Beloved Country","Alan Paton","1948","Fiction","Classics","Cultural","3.9","70758","2022/03/24"
"","5215","","One Hundred Years of Solitude","Gabriel García Márquez","1967","Fiction","Classics","Magical Realism","4.1","844357","2022/03/24"
"","5216","","Song of Solomon","Toni Morrison","1977","Fiction","Classics","Historical","4.11","97295","2022/03/24"
"","5217","","One Hundred Years of Solitude","Gabriel García Márquez","1967","Fiction","Classics","Magical Realism","4.1","844357","2022/03/24"
"","5218","","One Hundred Years of Solitude","Gabriel García Márquez","1967","Fiction","Classics","Magical Realism","4.1","844357","2022/03/24"
"","5219","","The Bluest Eye","Toni Morrison","1970","Fiction","Classics","Historical","4.09","203820","2022/03/24"
"","5220","","The Poisonwood Bible","Barbara Kingsolver","1998","Fiction","Historical","Historical Fiction","4.08","693959","2022/03/24"
"","5221","","A Million Little Pieces","James Frey","2003","Fiction","Contemporary","Psychology","3.66","238553","2022/03/24"
"","5222","","East of Eden","John Steinbeck","1952","Classics","Fiction","Historical","4.39","470585","2022/03/24"
"","5223","","One Hundred Years of Solitude","Gabriel García Márquez","1967","Fiction","Classics","Magical Realism","4.1","844366","2022/03/24"
