"id","series","title","author","genre1","genre2","genre3","rating","count","date"
"219","","The Machine in Ward Eleven","Charles Willeford","Fiction","Mystery","Noir","3.65","171","2022/03/18"
"220","","","","","","","","","2022/03/18"
"221","","Wild Wives","Charles Willeford","Mystery","Crime","Fiction","3.69","537","2022/03/18"
"222","","The Shark-Infested Custard","Charles Willeford","Fiction","Mystery","Crime","3.81","651","2022/03/18"
"223","","","","","","","","","2022/03/18"
"224","","The Black Mass of Brother Springer","Charles Willeford","Mystery","Crime","Mystery","3.97","288","2022/03/18"
"225","Hoke Moseley","Sideswipe","Charles Willeford","Mystery","Crime","Fiction","4.04","1115","2022/03/18"
"226","","Comedy after Postmodernism: Rereading Comedy from Edward Lear to Charles Willeford","Kirby Olson","","","","3.67","6","2022/03/18"
"227","","","","","","","","","2022/03/18"
"228","","Cockfighter","Charles Willeford","Fiction","Mystery","Crime","4.11","1336","2022/03/18"
"229","Hoke Moseley","Sideswipe","Charles Willeford","Mystery","Crime","Fiction","4.04","1115","2022/03/18"
"230","","The Burnt Orange Heresy (Vintage Crime/Black Lizard)","Charles Willeford","Fiction","Mystery","Crime","3.82","1099","2022/03/18"
"231","","I am Charlotte Simmons","Tom Wolfe","Fiction","Contemporary","Novels","3.44","27670","2022/03/18"
"232","","I am Charlotte Simmons","Tom Wolfe","Fiction","Contemporary","Novels","3.44","27670","2022/03/18"
"233","","","","","","","","","2022/03/18"
"234","Nonsense Books","The Complete Verse and Other Nonsense","Edward Lear","Poetry","Humor","Classics","4.16","985","2022/03/18"
"235","Nonsense Books","A Book of Nonsense","Edward Lear","Poetry","Classics","Childrens","3.63","2110","2022/03/18"
"236","","The Complete Nonsense of Edward Lear","Edward Lear","Poetry","Classics","Childrens","4.01","904","2022/03/18"
"237","Poetry for Young People","Poetry for Young People: Edward Lear","Edward Lear","Poetry","Childrens","Picture Books","3.98","87","2022/03/18"
"238","","Later Letters of Edward Lear to Chichester Fortescue (Select Bibliographies Reprint Ser.))","Edward Lear","","","","4.4","5","2022/03/18"
"239","","An Edward Lear Alphabet","Edward Lear","Childrens","Childrens","Picture Books","3.34","53","2022/03/18"
"240","Nonsense Books","Edward Lear's Nonsense Verse","Edward Lear","Poetry","Classics","Childrens","3.63","2110","2022/03/18"
"241","","A Was Once an Apple Pie","Edward Lear","Childrens","Picture Books","Poetry","3.39","223","2022/03/18"
"242","","The Owl and the Pussycat","Edward Lear","Poetry","Childrens","Picture Books","4.18","8361","2022/03/18"
"243","","The Pobble Who Has No Toes (Edward Lear's Little Books of Nonsense)","Edward Lear","Poetry","Childrens","Classics","4.47","59","2022/03/18"
"244","","The Puffin Book of Nonsense Verse","Quentin Blake","Poetry","Childrens","Humor","4.02","117","2022/03/18"
"245","","Henry Miller on Writing","Henry Miller","Language","Writing","Nonfiction","4.23","1105","2022/03/18"
"246","","The Colossus of Maroussi","Henry Miller","Travel","Nonfiction","Cultural","3.98","3841","2022/03/18"
"247","","Quiet Days in Clichy","Henry Miller","Fiction","Literature","Classics","3.66","4852","2022/03/18"
"248","","Big Sur and the Oranges of Hieronymus Bosch","Henry Miller","Fiction","Literature","Literature","4.03","2860","2022/03/18"
"249","Tropic","Tropic of Cancer","Henry Miller","Fiction","Classics","Literature","3.68","67121","2022/03/18"
"250","Tropic","Tropic of Capricorn","Henry Miller","Fiction","Classics","Literature","3.81","19154","2022/03/18"
"251","The Rosy Crucifixion","Nexus","Henry Miller","Fiction","Literature","Classics","4.1","3819","2022/03/18"
"252","The Rosy Crucifixion","Sexus","Henry Miller","Fiction","Classics","Literature","4.01","8954","2022/03/18"
"253","","The Air-Conditioned Nightmare","Henry Miller","Fiction","Travel","Literature","3.82","3152","2022/03/18"
"254","","The Time of the Assassins: A Study of Arthur Rimbaud","Henry Miller","Nonfiction","Poetry","Writing","3.92","1137","2022/03/18"
"255","","Public Places-Urban Spaces: The Dimensions of Urban Design","Matthew Carmona","Architecture","Cities","Urban Planning","4.14","124","2022/03/18"
"256","","Behavior in Public Places: Notes on the Social Organization of Gatherings","Erving Goffman","Sociology","Nonfiction","Psychology","4.08","267","2022/03/18"
"257","","Haunted Places in America: A Guide to Spooked and Spooky Public Places in the United States","Charles A. Coulombe","Horror","Ghost Stories","","3.42","19","2022/03/18"
"258","","Public Places: My Life in the Theater, with Peter O'Toole and Beyond","Siân Phillips","Biography","","","3.76","55","2022/03/18"
"259","","Together Alone: Personal Relationships in Public Places","Calvin Morrill","","","","3.67","12","2022/03/18"
"260","","Squares: A Public Place Design Guide for Urbanists","Mark C. Childs","","","","3.88","8","2022/03/18"
"261","","Just in Time! Pastoral Prayers in Public Places","F. Belton Joyner Jr.","Prayer","","","3.8","5","2022/03/18"
"262","","Pike Place Public Market Seafood Cookbook","Braiden Rex-Johnson","Food and Drink","Cookbooks","Reference","3.83","24","2022/03/18"
"263","","Art for Public Places: Critical Essays","Malcolm Miles","","","","4.0","5","2022/03/18"
"264","","The Portrait of a Lady","Henry James","Classics","Fiction","Literature","3.78","76095","2022/03/18"
"265","","The Portrait of a Lady","Janet McAlpin","Classics","","","3.8","10","2022/03/18"
"266","","The Portrait of a Lady","Henry James","Classics","Fiction","Literature","3.78","76095","2022/03/18"
"267","","Portrait of the Blue Lady: The Character of Melancholy","Lyn Cowan","Psychology","","","4.36","11","2022/03/18"
"268","","The Portrait of a Lady","Henry James","Classics","Fiction","Literature","3.78","76095","2022/03/18"
"269","","The Portrait of a Lady","Henry James","Classics","Fiction","Literature","3.78","76095","2022/03/18"
